代码,买入日期,买入价,股数,卖出日期,卖出价,收益%,盈亏元,市况,退出原因,持有交易日,距60高回撤%,MA60乖离%,RSI
002309,2026-01-16,3.0,5900,2026-01-30,2.93,-2.58,-457.0,牛市,到期,10,-31.3,-9.8,27.5
600156,2026-01-16,8.23,2200,2026-01-30,8.36,1.67,302.0,牛市,到期,10,-23.5,-5.9,28.0
603363,2026-01-20,4.38,5400,2026-02-03,4.09,-6.79,-1608.0,牛市,到期,10,-26.4,-10.6,30.6
000753,2026-01-22,7.44,4000,2026-02-05,7.44,0.01,4.0,牛市,到期,10,-34.8,-12.7,33.6
000955,2026-01-22,5.8,5200,2026-02-05,5.69,-1.76,-530.0,牛市,到期,10,-34.4,-12.4,32.1
000973,2026-01-30,12.46,1400,2026-02-13,13.77,10.52,1834.0,牛市,到期,10,-23.3,-3.6,34.9
003016,2026-01-30,8.97,2000,2026-02-13,8.68,-3.25,-582.0,牛市,到期,10,-30.4,-7.1,25.3
002453,2026-02-03,5.94,3800,2026-02-25,6.24,5.1,1150.0,牛市,到期,10,-30.5,-12.0,26.1
002317,2026-02-05,19.56,1500,2026-02-27,18.83,-3.72,-1091.0,牛市,到期,10,-30.6,-10.4,34.6
002862,2026-02-05,18.9,1500,2026-02-27,18.09,-4.26,-1209.0,牛市,到期,10,-25.3,-8.4,22.2
000766,2026-02-13,23.78,800,2026-03-09,21.1,-11.27,-2143.0,牛市,到期,10,-19.4,-12.1,26.8
600721,2026-02-13,9.36,2000,2026-03-09,8.95,-4.45,-833.0,牛市,到期,10,-26.3,-6.7,31.6
000766,2026-02-25,23.92,1000,2026-03-11,21.04,-12.04,-2880.0,牛市,到期,10,-18.7,-11.1,30.4
002315,2026-02-27,46.29,600,2026-03-13,41.53,-10.29,-2857.0,牛市,到期,10,-27.7,-4.2,32.0
600593,2026-02-27,38.37,700,2026-03-13,38.31,-0.17,-44.0,牛市,到期,10,-27.3,-11.9,23.2
000681,2026-03-09,23.7,700,2026-03-23,19.75,-16.66,-2763.0,牛市,到期,10,-33.0,-7.4,32.0
002117,2026-03-09,11.31,1700,2026-03-23,9.93,-12.2,-2346.0,牛市,到期,10,-22.4,-8.7,32.9
001207,2026-03-11,22.15,900,2026-03-25,20.43,-7.79,-1554.0,牛市,到期,10,-23.6,-10.9,33.3
002612,2026-03-13,17.7,1500,2026-03-27,16.44,-7.14,-1895.0,牛市,到期,10,-18.7,-8.9,34.6
600962,2026-03-13,20.59,1200,2026-03-27,19.59,-4.86,-1202.0,牛市,到期,10,-21.1,-7.2,28.5
000881,2026-03-24,7.67,2100,2026-04-08,7.68,0.09,15.0,熊市,到期,10,-21.5,-11.8,33.6
002099,2026-03-24,6.94,2300,2026-04-08,7.05,1.7,272.0,熊市,到期,10,-24.3,-1.6,34.2
000301,2026-03-25,10.89,1700,2026-04-09,11.11,2.06,381.0,熊市,到期,10,-26.5,-8.3,18.9
000565,2026-03-27,7.51,3200,2026-04-13,7.17,-4.49,-1080.0,熊市,到期,10,-19.2,-7.1,31.3
000581,2026-03-27,20.8,1100,2026-04-13,20.7,-0.44,-101.0,熊市,到期,10,-20.7,-5.6,21.6
000021,2026-04-08,28.05,600,2026-04-22,29.01,3.4,572.0,熊市,到期,10,-22.6,-6.7,29.1
000560,2026-04-08,2.95,5800,2026-04-22,2.92,-1.25,-214.0,熊市,到期,10,-19.7,-7.3,25.3
002394,2026-04-09,13.99,1300,2026-04-23,13.14,-6.05,-1101.0,熊市,到期,10,-31.3,-7.5,34.6
000862,2026-04-13,6.44,3600,2026-04-27,6.66,3.34,775.0,熊市,到期,10,-32.3,-6.7,19.3
